class_id,comparison,placebo_type,feature_space,nA,nB,stat_energy,p_energy,stat_mmd2,p_mmd2,n_perm,seed,perm_method,replicate_id
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,0.8938603349713219,0.20159680638722555,0.007325368222297346,0.2215568862275449,500,12345,iid,37
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.04715543064037497,0.7984031936127745,-0.00579095670078833,0.7684630738522954,500,12345,iid,38
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.9016016697782661,0.7465069860279441,-0.007473316679436959,0.7285429141716567,500,12345,iid,38
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.00664583551017639,0.42115768463073855,-0.0007647763225175908,0.4091816367265469,500,12345,iid,39
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.4886653587423879,0.5748502994011976,0.0005942351251604361,0.3393213572854291,500,12345,iid,39
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.044934477781375826,0.18163672654690619,0.005081989306392032,0.19560878243512975,500,12345,iid,40
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.9652719044430071,0.8283433133732535,-0.008038452137464125,0.8063872255489022,500,12345,iid,40
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.2935528609757032,0.007984031936127744,0.03691977970434146,0.007984031936127744,500,12345,iid,41
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,0.02999519114332827,0.3373253493013972,-0.005784163161715483,0.5968063872255489,500,12345,iid,41
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.03015488904998964,0.6187624750499002,-0.0037597692721982323,0.6027944111776448,500,12345,iid,42
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.9928281717383172,0.7864271457085829,-0.008251910696060794,0.7924151696606786,500,12345,iid,42
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.04670362601848144,0.7724550898203593,-0.0067698391102746225,0.8203592814371258,500,12345,iid,43
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.7951422295406303,0.6946107784431138,-0.009244553067990768,0.8522954091816367,500,12345,iid,43
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.032389309550517,0.20758483033932135,0.004392155856318469,0.1996007984031936,500,12345,iid,44
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,1.5499823252034162,0.09780439121756487,0.015556024524994827,0.07984031936127745,500,12345,iid,44
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.019236631478564803,0.5289421157684631,-0.002859299641257751,0.5369261477045908,500,12345,iid,45
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.2030381422545986,0.8802395209580839,-0.010227736680353816,0.8662674650698603,500,12345,iid,45
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.04187807243931729,0.7445109780439122,-0.005097933604093052,0.7125748502994012,500,12345,iid,46
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.392973784875963,0.9580838323353293,-0.011432650076933282,0.9201596806387226,500,12345,iid,46
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.011913978936937575,0.2994011976047904,0.0019669540818811893,0.2934131736526946,500,12345,iid,47
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.5331236679154117,0.6127744510978044,-0.003575438419384902,0.5688622754491018,500,12345,iid,47
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.025357952709816445,0.6187624750499002,-0.0031396936348935256,0.6187624750499002,500,12345,iid,48
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-1.3898950240479095,0.9660678642714571,-0.012091541786853455,0.9600798403193613,500,12345,iid,48
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,-0.034771560686138514,0.6467065868263473,-0.0044989406724875725,0.6467065868263473,500,12345,iid,49
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,level_3D,55,55,-0.03808584727970299,0.4231536926147705,0.006297118170370597,0.2654690618762475,500,12345,iid,49
weekday__shoulder,2024_random_half_vs_half,placebo_B_random_halves_2024,shape_24D,55,55,0.022780135065087137,0.24750499001996007,0.0013278512141310372,0.313373253493014,500,12345,iid,50
